word,count,GPE,date,article_index
America_2011-01-26_5691,23,America,2011-01-26,5691
Pakistan_2010-12-16_5637,23,Pakistan,2010-12-16,5637
America_2004-01-21_2459,23,America,2004-01-21,2459
Afghanistan_2021-07-10_8852,23,Afghanistan,2021-07-10,8852
Egypt_2010-12-09_5613,23,Egypt,2010-12-09,5613
Afghanistan_2001-10-08_849,23,Afghanistan,2001-10-08,849
Afghanistan_2001-10-22_1058,23,Afghanistan,2001-10-22,1058
Pakistan_2007-12-29_3651,22,Pakistan,2007-12-29,3651
Afghanistan_2021-08-31_9312,22,Afghanistan,2021-08-31,9312
Kabul_2014-12-11_7483,22,Kabul,2014-12-11,7483
Pakistan_2017-08-22_8227,22,Pakistan,2017-08-22,8227
Bank_2001-11-28_1464,22,Bank,2001-11-28,1464
Iraq_2016-07-07_7985,22,Iraq,2016-07-07,7985
West_2001-11-28_1464,22,West,2001-11-28,1464
Iran_2010-01-07_4936,22,Iran,2010-01-07,4936
China_2017-06-05_8201,22,China,2017-06-05,8201
London_2005-07-10_2755,22,London,2005-07-10,2755
Pakistan_2007-12-27_3640,22,Pakistan,2007-12-27,3640
Pakistan_2006-08-21_3021,22,Pakistan,2006-08-21,3021
UK_2021-04-06_8758,22,UK,2021-04-06,8758
Australia_2021-09-05_9399,22,Australia,2021-09-05,9399
America_2008-08-29_4027,22,America,2008-08-29,4027
Afghanistan_2008-10-09_4109,22,Afghanistan,2008-10-09,4109
Pakistan_2010-07-28_5269,22,Pakistan,2010-07-28,5269
Pakistan_2018-02-15_8328,22,Pakistan,2018-02-15,8328
Pakistan_2015-03-09_7578,22,Pakistan,2015-03-09,7578
Canada_2016-12-14_8081,22,Canada,2016-12-14,8081
Iran_2003-06-01_2313,22,Iran,2003-06-01,2313
Israel_2010-11-28_5514,22,Israel,2010-11-28,5514
Afghanistan_2003-05-25_2307,22,Afghanistan,2003-05-25,2307
Iran_2007-05-14_3334,22,Iran,2007-05-14,3334
Kandahar_2010-02-21_5005,22,Kandahar,2010-02-21,5005
Israel_2010-02-21_5004,22,Israel,2010-02-21,5004
Karzai_2010-12-02_5575,22,Karzai,2010-12-02,5575
India_2010-12-16_5643,22,India,2010-12-16,5643
Pakistan_2010-12-05_5598,22,Pakistan,2010-12-05,5598
U.S._2010-12-04_5595,22,U.S.,2010-12-04,5595
Iran_2020-01-11_8574,22,Iran,2020-01-11,8574
Iraq_2008-12-02_4195,21,Iraq,2008-12-02,4195
Pakistan_2011-12-26_6159,21,Pakistan,2011-12-26,6159
Sharifi_2015-09-01_7722,21,Sharifi,2015-09-01,7722
Afghanistan_2021-08-17_9016,21,Afghanistan,2021-08-17,9016
Pakistan_2009-05-13_4459,21,Pakistan,2009-05-13,4459
Pakistan_2011-12-07_6143,21,Pakistan,2011-12-07,6143
Mengal_2008-07-02_3929,21,Mengal,2008-07-02,3929
Afghanistan_2021-04-22_8776,21,Afghanistan,2021-04-22,8776
Afghanistan_2001-09-29_709,21,Afghanistan,2001-09-29,709
Somalia_2002-01-24_1714,21,Somalia,2002-01-24,1714
Qatar_2010-12-03_5592,21,Qatar,2010-12-03,5592
Afghanistan_2016-03-14_7906,21,Afghanistan,2016-03-14,7906
Afghanistan_2003-07-13_2335,21,Afghanistan,2003-07-13,2335
Pakistan_2011-10-23_6088,21,Pakistan,2011-10-23,6088
Kabul_2021-09-30_9549,21,Kabul,2021-09-30,9549
Afghanistan_2005-03-19_2705,21,Afghanistan,2005-03-19,2705
Iran_2010-12-02_5571,21,Iran,2010-12-02,5571
