word,count,FAC,date,article_index
Hamid_2010-05-28_5103,1,Hamid,2010-05-28,5103
Square_2010-05-30_5105,1,Square,2010-05-30,5105
Shorn_2010-02-16_4996,1,Shorn,2010-02-16,4996
Bastion_2010-06-11_5128,1,Bastion,2010-06-11,5128
Human_2010-06-18_5141,1,Human,2010-06-18,5141
Square_2010-06-18_5141,1,Square,2010-06-18,5141
Red_2010-06-18_5141,1,Red,2010-06-18,5141
Kazak_2010-06-18_5141,1,Kazak,2010-06-18,5141
Irchi_2010-06-18_5141,1,Irchi,2010-06-18,5141
Makhachkala_2010-06-18_5141,1,Makhachkala,2010-06-18,5141
Helmand_2010-06-15_5134,1,Helmand,2010-06-15,5134
Sangin_2010-06-15_5134,1,Sangin,2010-06-15,5134
Bay_2010-06-12_5129,1,Bay,2010-06-12,5129
Guantánamo_2010-06-12_5129,1,Guantánamo,2010-06-12,5129
Camp_2010-06-11_5128,1,Camp,2010-06-11,5128
white_2010-05-31_5106,1,white,2010-05-31,5106
Guantanamo_2010-06-11_5127,1,Guantanamo,2010-06-11,5127
Mousas_2010-06-11_5127,1,Mousas,2010-06-11,5127
Baha_2010-06-11_5127,1,Baha,2010-06-11,5127
Mousavi_2010-06-11_5127,1,Mousavi,2010-06-11,5127
Mir_2010-06-10_5122,1,Mir,2010-06-10,5122
Islamabad_2010-06-09_5115,1,Islamabad,2010-06-09,5115
Punjab_2010-06-09_5115,1,Punjab,2010-06-09,5115
Arabia_2010-06-07_5114,1,Arabia,2010-06-07,5114
hill_2010-05-31_5106,1,hill,2010-05-31,5106
headstones_2010-05-31_5106,1,headstones,2010-05-31,5106
Square_2010-05-03_5069,1,Square,2010-05-03,5069
Times_2010-05-03_5069,1,Times,2010-05-03,5069
Cornwall_2010-04-30_5067,1,Cornwall,2010-04-30,5067
Parachute_2010-03-06_5019,1,Parachute,2010-03-06,5019
Street_2010-03-10_5026,1,Street,2010-03-10,5026
Main_2010-03-10_5026,1,Main,2010-03-10,5026
Times_2010-03-10_5025,1,Times,2010-03-10,5025
October_2010-03-10_5025,1,October,2010-03-10,5025
Bay_2010-03-10_5025,1,Bay,2010-03-10,5025
Westminster_2010-03-10_5025,1,Westminster,2010-03-10,5025
Palace_2010-03-10_5025,1,Palace,2010-03-10,5025
Shields_2010-03-09_5022,1,Shields,2010-03-09,5022
South_2010-03-09_5022,1,South,2010-03-09,5022
Regiment_2010-03-06_5019,1,Regiment,2010-03-06,5019
Battalion_2010-03-06_5019,1,Battalion,2010-03-06,5019
Route_2010-04-30_5067,1,Route,2010-04-30,5067
3rd_2010-03-06_5019,1,3rd,2010-03-06,5019
Blair_2010-03-05_5017,1,Blair,2010-03-05,5017
Brown_2010-03-05_5017,1,Brown,2010-03-05,5017
Bastion_2010-03-02_5014,1,Bastion,2010-03-02,5014
Camp_2010-03-02_5014,1,Camp,2010-03-02,5014
Air_2010-02-24_5011,1,Air,2010-02-24,5011
Fleet_2010-02-24_5011,1,Fleet,2010-02-24,5011
Telegraph_2010-02-24_5010,1,Telegraph,2010-02-24,5010
Street_2010-02-21_5004,1,Street,2010-02-21,5004
J_2010-02-21_5004,1,J,2010-02-21,5004
Pennsburg_2010-03-10_5026,1,Pennsburg,2010-03-10,5026
Guantánamo_2010-03-30_5039,1,Guantánamo,2010-03-30,5039
Bay_2010-03-30_5039,1,Bay,2010-03-30,5039
Akiev_2010-04-02_5041,1,Akiev,2010-04-02,5041
Helmand_2010-04-28_5065,1,Helmand,2010-04-28,5065
Showal_2010-04-28_5065,1,Showal,2010-04-28,5065
Bastion_2010-04-21_5059,1,Bastion,2010-04-21,5059
Camp_2010-04-21_5059,1,Camp,2010-04-21,5059
Sangin_2010-04-21_5059,1,Sangin,2010-04-21,5059
Qala_2010-04-21_5059,1,Qala,2010-04-21,5059
Musa_2010-04-21_5059,1,Musa,2010-04-21,5059
Helmand_2010-04-21_5059,1,Helmand,2010-04-21,5059
Kabul_2010-04-19_5058,1,Kabul,2010-04-19,5058
Kandahar_2010-04-19_5058,1,Kandahar,2010-04-19,5058
Musharraf_2010-04-16_5056,1,Musharraf,2010-04-16,5056
Pervez_2010-04-16_5056,1,Pervez,2010-04-16,5056
valley_2010-04-13_5052,1,valley,2010-04-13,5052
Tirah_2010-04-13_5052,1,Tirah,2010-04-13,5052
Bridge_2010-04-13_5050,1,Bridge,2010-04-13,5050
Nala_2010-04-13_5050,1,Nala,2010-04-13,5050
Helmand_2010-04-13_5049,1,Helmand,2010-04-13,5049
Leatherneck_2010-04-13_5049,1,Leatherneck,2010-04-13,5049
Camp_2010-04-13_5049,1,Camp,2010-04-13,5049
House_2010-04-07_5044,1,House,2010-04-07,5044
White_2010-04-07_5044,1,White,2010-04-07,5044
Center_2010-12-02_5567,1,Center,2010-12-02,5567
Road_2010-12-02_5570,1,Road,2010-12-02,5570
Camp_2011-12-08_6144,1,Camp,2011-12-08,6144
Square_2011-05-04_5849,1,Square,2011-05-04,5849
Europe_2011-05-08_5863,1,Europe,2011-05-08,5863
Britain_2011-05-08_5863,1,Britain,2011-05-08,5863
Qaida_2011-05-07_5861,1,Qaida,2011-05-07,5861
Al_2011-05-07_5861,1,Al,2011-05-07,5861
Square_2011-05-06_5857,1,Square,2011-05-06,5857
Tavistock_2011-05-06_5857,1,Tavistock,2011-05-06,5857
Kashmiri_2011-05-04_5849,1,Kashmiri,2011-05-04,5849
Ilyas_2011-05-04_5849,1,Ilyas,2011-05-04,5849
York_2011-05-04_5849,1,York,2011-05-04,5849
New_2011-05-04_5849,1,New,2011-05-04,5849
Times_2011-05-04_5849,1,Times,2011-05-04,5849
Palace_2011-05-22_5890,1,Palace,2011-05-22,5890
Saleh_2011-05-02_5841,1,Saleh,2011-05-02,5841
Amrullah_2011-05-02_5841,1,Amrullah,2011-05-02,5841
Karzai_2011-05-02_5841,1,Karzai,2011-05-02,5841
Avenue_2011-05-02_5839,1,Avenue,2011-05-02,5839
